MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym
319|to go into, to put into, to remain (seated), to be plunged into (silence), to do thoroughly, to do intently, to continue in the same state|VC|To go into, to put into, to remain (seated), to be plunged into (silence), to do thoroughly, to do intently, to continue in the same state.|X komu @ X = verb masu stem|||
320|to start doing/being, to start gradually|VC|To start to [do/be] X.|X hajimeru @ X = verb masu stem|||
321|to finish doing/being, to completely finish|VC|To finish [doing/being] X.|X owaru @ X = verb masu stem|||
322|to continue doing/being|VC|To continue [doing/being] X.|X tsudukeru @ X = verb masu stem|||
323|to suddenly happen, become visible or come out|VC|X suddenly happens, becomes visible or comes out.|X dasu @ X = verb masu stem|||
324|completely finished doing|VC|[I/you/he/she] [have/has] completely finished [doing/being] X. Used colloquially (casual speech) only.|X chau @ X = verb masu form or root (depending on verb type)|||
325|did and regret doing it|VC|[I/you/he/she] [did/was] X and regret doing it. Used colloquially (casual speech) only.|X chatta @ X = verb masu form or root (depending on verb type)|||
326|completely finished doing|VC|[I/you/he/she] [have/has] completely finished [doing/being] X. Used colloquially (casual speech) only.|X jau @ X = verb masu form or root (depending on verb type)|||
327|did and regret doing it|VC|[I/you/he/she] [did/was] X and regret doing it. Used colloquially (casual speech) only.|X jatta @ X = verb masu form or root (depending on verb type)|||
328|do (honorific)|VC|To [do/be] X (honorific).|(o) X ni naru @ X = verb masu stem|1460;1461||
329|do (honorific)|VC|To [do/be] X (honorific).|(o) X nasaru @ X = verb masu stem|||
330|do (humble)|VC|To [do/be] X (humble).|(o) X suru @ X = verb masu stem|||
331|do (humble)|VC|To [do/be] X (humble).|(o) X itasu @ X = verb masu stem|||
332|please do|VC|To please [do/be] X.|(o) X kudasai @ X = verb masu stem|1462;1463||
333|please don't do|VC|To please don't [do/be] X.|(o) X kudasai @ X = verb naide form|1475;1476||
334|please do (honorific)|VC|To please [do/be] X (honorific).|X nasaimase @ X = verb masu stem|||
335|please don't do (honorific)|VC|To please don't [do/be] X (honorific).|X nasaimasu na @ X = verb masu stem|||
336|ordered to do (polite)|VC|You are ordered to [do/be] X (polite).|X nasai @ X = verb masu stem|||
337|ordered not to do (polite)|VC|You are ordered not to [do/be] X (polite).|X nasaru na @ X = verb masu stem|||
338|as it is, as one likes, because, as, as long as|VC|As it is, as one likes, because, as, as long as.|X mama @ X = verb plain past|1394||
339|do over again|VC|To [do/be] X over again. Sometimes with the connotation of repeating an action as reparation.|X naosu @ X = verb masu stem|1403||
340|want to do, would like to …|VC|Want to/would like to [do/be] X|X @ X = verb tai form|||
341|wanted to …|VC|Wanted to [do/be] X|X @ X = verb tai form|||
342|don't want to …|VC|Don't want to [do/be] X|X @ X = verb tai form|||
343|didn't want to …|VC|Didn't want to [do/be] X|X @ X = verb tai form|||
344|want to ... (polite)|VC|Want to [do/be] X (polite)|X @ X = verb tai form|||
345|wanted to ... (polite)|VC|Wanted to [do/be] X (polite)|X @ X = verb tai form|||
346|don't want to ... (polite)|VC|Don't want to [do/be] X (polite)|X @ X = verb tai form|||
347|didn't want to ... (polite)|VC|Didn't want to [do/be] X (polite)|X @ X = verb tai form|||
348|(I understand that) he/she wants to do|VC|(I understand that) he/she wants to [do/be] X. Third person usage only.|X @ X = verb tagaru form|||
349|easy to do|VC|Easy to [do/be] X.|X yasui @ X = verb masu stem|894||
350|difficult to do|VC|Difficult to [do/be] X.|X nikui @ X = verb masu stem|895||
351|do contemptuously|VC|To [do/be] X (speaker is contemptuous). Used colloquially to indicate hatred, contempt or disdain for another's actions.|X yagaru @ X = verb masu stem|896||
352|do with hatred or contempt|VC|To [do/be] with hatred or contempt. Used in very vulgar language to indicate hatred, contempt or disdain for another's actions.|X yagare @ X = verb masu stem|897||
353|not do|VC|To not [do/be] X. Archaic form of negation.|X nu @ X = verb masu stem|||
354|without doing|VC|To [verb] without [doing/being] X. Archaic form of negation.|X zu @ X = verb masu stem|898||
355|done doing|VC|[I/you/he/she] [am/are/is] done [doing/being] X. Indicates the completion of an action.|X agaru @ X = verb masu stem|||
356|to the point of|VC|To do to the point of X.|X hodo @ X = verb dict. form|1267||
357|or not|VC|To do or not do X.|X ka ina ka @ X = verb dict. form|1268||
358|have decided to do|VC|To have decided to [do/be] X (in the future). More colloquial form of "koto ni kimeru".|X koto ni suru @ X = verb dict./nai form|1410||
359|decided to do|VC|We decided to [do/be] X.|X koto ni shita @ X = verb dict./nai form|1402;1408||
360|cannot, should not, will not, must not|VC|[I/you/he/she] cannot, should not, will not, must not [do/be] X.|X maji @ X = verb dict./nai form|1420||
361|has decided to be doing|VC|[I/you/he/she] have decided to be [doing/being] X.|X koto ni shiteiru @ X = verb dict./nai form|1409||
362|it has been decided to do|VC|It has been decided that [I/you/he/she] does/be X.|X koto ni naru @ X = verb dict./nai form|||
363|as soon as|VC|As soon as [I/you/he/she] [does/is] X.|X ga hayai ka @ X = verb plain form|687||
364|why not doing, how about doing|VC|Why don't [I/you/he/she] [do/be] X? How about [doing/being] X?|X dou desu ka? @ X = verb tara form|||
365|what do (you) think/suggest|VC|What do [I/you/he/she] [think/suggest] if [I/you/he/she] [do/does/am/is] X?|X ii desu ka? @ X = verb tara form|||
366|shouldn't (you) do?|VC|Shouldn't [I/you/he/she] [do/be] X?|X deshou ka? @ X deshou = verb deshou form|||
367|why don't (you) do?|VC|Why don't [I/you/he/she] [do/be] X? |X ka? @ X = verb masen form|||
368|why don't (you) do?|VC|Why don't [I/you/he/she] [do/be] X? |X ka? @ X = verb nai form|||
369|may do?|VC|May [I/you/he/she] [do/be] X?|X mashou ka? @ X mashou = verb mashou form|||
370|only do|VC|To only do X.|X dake da @ X = verb plain form|||
371|has (just) recently done|VC|To have (just) recently done X.|X bakari @ X = verb ta form|1076;1419||
372|have done just now|VC|To have [done/been] X just now.|X tokoro da @ X = verb ta form|||
373|just about to do|VC|To be just about to [do/be] X.|X tokoro da @ X = verb dict. form|||
374|be just in the middle of|VC|To be just in the middle of X-ing.|X tokoro da @ X = verb teiru form|||
375|occasionally do|VC|To occasionally [do/be] X.|X koto ga aru @ X = verb dict./nai form|||
376|allowed to do|VC|To be allowed to [do/be] X.|X koto ga de aru @ X = verb dict./nai form|||
377|have experienced|VC|To have experienced X-ing.|X koto ga aru @ X = verb ta form|1473;1474||
378|have happened to do|VC|To have happened to [do/be] X.|X koto ni naru @ X = verb ta form|||
379|even if there was|VC|||||
380|be scheduled to do|VC|To be scheduled/due to do X.|X koto ni nattieru @ X = verb dict./nai form|||
381|about to do|VC|To be about to [do/be] X.|X to shiteiru @ X = verb ou (volitional) form|||
382|about to do|VC|To be about to [do/be] X.|X to suru @ X = verb ou (volitional) form|||
383|was just about to do, tried to do|VC|To have been just about to do X, to have tried to do X.|X to shita @ X = verb ou (volitional) form|||
384|plan to do, intend to do|VC|To plan to [do/be] X, to intend to [do/be] X. "tsumori" indicates more of a concrete intention that "ou to omou".|X to omou @ X = verb ou (volitional) form|||tsumori
385|planning to do|VC|Planning to [do/be] X. "tsumori" indicates more of a concrete intention that "ou to omotteiru".|X to omoteiru @ X = verb ou (volitional) form|||
386|not intending to do|VC|Not intending to [do/be] X.|X tomonaku @ X = verb dict. form|988||
387|intend to do|VC|To intend to [do/be] X. "tsumori" indicates more of a concrete intention that "ou to omou".|X tsumori da @ X = verb plain form|989;1294||ou to omou
388|should do|VC|[I/you/he/she] should [do/be] X.|X ii noni @ X = verb ba form|||
389|should do|VC|[I/you/he/she] should [do/be] X.|X yokatta noni @ X = verb ba form|||
390|should have done|VC|[I/you/he/she] should have [done/been] X.|X yokatta @ X = verb ba form|||
391|am, is|iAC|i-adjective conjugation: present tense.|[root] + i|||
392|am, is|iAC|i-adjective conjugation: present tense (polite).|[root] + i desu|||
393|am not, is not|iAC|i-adjective conjugation: present negative tense.|[root] + kunai desu|||
394|am not, is not|iAC|i-adjective conjugation: present negative tense (polite).|[root] + ku arimasen|||
395|was|iAC|i-adjective conjugation: past tense.|[root] + katta desu|||
396|was not|iAC|i-adjective conjugation: past negative tense.|[root] + kunakatta desu|||
397|was not|iAC|i-adjective conjugation: past negative tense (polite).|[root] + ku arimasen deshita|||
398|manner of being|iAC|i-adjective conjugation: adverb form.|[root] + ku|1082;1083;1084||
399|and|iAC|i-adjective conjugation: X and Y. Used to adjoin more than two adjectives to a noun.|[root] + kute + [next adj.]|1085||
400|is so that|iAC|i-adjective conjugation.|[root] + kute|1262||
401|even if|iAC|i-adjective conjugation.|X temo @ X = i-adj. root|1490||
402|to turn into|iAC|i-adjective conjugation.|[root] + ku naru|1086;1087||
403|to make|iAC|i-adjective conjugation.|[root] + ku suru|1088||
404|noun form|iAC|i-adjective conjugation.|[root] + mi|1089||
405|if|iAC|i-adjective conjugation.|[root] + kereba|||
406|should do, must do, ought to do|iAC|i-adjective conjugation.|[root] + karou|||
407|level, degree of something|iAC|i/na-adjective conjugation.|[root] + sa|1458;1459||
408|am, is|naAC|na-adjective conjugation: present tense.|[root]|||
409|am, is|naAC|na-adjective conjugation: present tense (polite).|[root] + desu|||
410|am not|naAC|na-adjective conjugation: present negative tense (most polite).|[root] + de wa arimasen|||
411|am not|naAC|na-adjective conjugation: present negative tense (polite).|[root] + ja nai desu|||
412|am not|naAC|na-adjective conjugation: present negative tense (neutral).|[root] + dewa nai|1091||
413|am/is not X|PC|na-adjective conjugation.|X dewa nai @ X = phrase|1497||
414|am not|naAC|na-adjective conjugation: present negative tense (impolite).|[root] + ja nai|108||
415|was|naAC|na-adjective conjugation: past tense.|[root] + deshita|||
416|was not|naAC|na-adjective conjugation: past negative tense.|[root] + ja arimasen deshita|||
417|was not|naAC|na-adjective conjugation: past negative tense (polite).|[root] + de wa arimasen deshita|||
418|and|naAC|na-adjective conjugation: X and Y. Used to adjoin more than two adjectives to a noun.|[root] + de + [next adj.]|||
419|even if|iAC|na-adjective conjugation.|X demo @ X = na-adj. root|||
420|to turn into |naAC|na-adjective conjugation.|[root] + ni naru|1094;1095||
421|to make|naAC|na-adjective conjugation.|[root] + ni suru|323||
422|if|naAC|na-adjective conjugation.|[root] + deareba|||
423|plan to|PC|I plan to X.|X wo yotei da @ X = phrase|1448||
424|interested in|PC|I am interested in X.|X ni kyoumi ga aru @ X = phrase|||
425|was not|PC|(He) was not X.|X dewa nakatta @ X = phrase|||
426|isn't it|CE|ME#0259;0260||||nodewanai
427|isn't it|CE|ME#0261;0262||||njanai
428|as a response|PC|Added to form a compund noun.||109||
429|because of, due to|PC|Because of X. Used when conveying that X was someone/something's fault, with a negative connotation.|X sei de/da @ X = verb/i-adj.%X na sei de/da @ X = na-adj.%X no sei de/da @ X = noun|||
430|maybe because of, maybe due to|PC|Because of X. Used when conveying that X was someone/something's fault, with a negative connotation.|X sei ka @ X = verb/i-adj.%X na sei ka @ X = na-adj.%X no sei ka @ X = noun|||
431|to think it may..., to be afraid that...|PC|To think it may do/be X.|X darou to omou @ X = verb/adj./noun|||
432|to wonder about ...|PC|To wonder about X.|X no/n darou to omou @ X = verb plain form%X na no/n darou to omou @ X = na-adj./noun|||
433|is pretty sure that ...|PC|I'm pretty sure that X.|X ni chigai nai @ X = verb/adj./noun|||
434|centered on, centred on, focused on|PC|Centered on X.|X wo chuushin ni @ X = phrase|||
435|thing, matter|N|Contraction for "mono da".||||
436|any choice|A|ME#0021;0022||||
437|any choice|A|ME#0021;0022||||
438|any kind|A|ME#0023;0024||||
439|any number of|A|||||
440|as the next follow|A|||||daremo
441|anybody and everybody, with the best of them, as the next fellow|A|||||
442|any one, any, whichever|A||Sentences where nanika is used instead of nanidemo.|718||
443|black|A|||627||
444|comparatively|A|||||
445|apiece, each|A|||643||
446|either choice|A|||||
447|either choice|A|||||
448|every kind|A||Always followed by affirmative verb.|||
449|no kind|A||Always followed by negative verb.|||
450|everybody, everyone|A|||||
451|everything|A|||||
452|anyone, anybody, everyone, everybody, whoever|P|||420||
453|everyone, every person, all, anyone|A|||||
454|everything|A|||||
455|here (place physically close to the speaker, place pointed by the speaker while explaining), this place|A;loc|ME#0025;0026||||
456|him/her (here)|A|ME#0006;0007||||
457|this one (something physically close to the speaker)|A|ME#0015;0016||||
458|this way (direction close to the speaker or towards the speaker), this direction|N;Abs|||||
459|here (place close to the speaker or where the speaker is)|N;Abs|||||
460|I, me, we, us|P|||||
461|this person (someone physically close to the speaker and of equal or higher status)|P|||||
462|this (something or someone close to the speaker (including the speaker), or ideas expressed by the speaker)|A|||104||
463|him/her (here)|A|ME#0006;0007||||
464|this one (something physically close to the speaker)|A|ME#0015;0016||||
465|this (indicating an item near the speaker, the action of the speaker, or the current topic)|P|||||
466|this person (usu. indicating someone in one's in-group)|P|||||
467|now|P|||||
468|I (me)|P|||||
469|certainly|P|||||
470|that over there|A|||715;716||
471|him/her (over there)|A|ME#0010;0011||||
472|that one over there|A|ME#0019;0020||||
473|that (indicating something distant from both speaker and listener (in space, time or psychologically), or something understood without naming it directly)|N;Abs|||||
474|that person (used to refer to one's equals or inferiors)|N;Abs|||||
475|down there (i.e. one's genitals)|N;Abs|||||
476|period, menses|N;Abs|||||
477|hey (expression of surprise, suspicion, etc.), huh?, eh?|N;Abs|||||
478|that (something mentioned before which is distant psychologically or in terms of time)|N;Abs|||||
479|there (place physically distant from both speaker and listener), over there, that place, yonder, you-know-where|A;loc|ME#0029;0030||||
